GeneID,BL2hr_vs_BRZ
AT4G19520,BES1_Target_BL_up
AT4G08620,BES1_Target_BL_up
AT2G37700,BES1_Target_BL_up
AT1G10550,BES1_Target_BL_up
AT4G04745,BES1_Target_BL_up
AT4G23870,BES1_Target_BL_up
AT1G13110,BES1_Target_BL_up
AT2G47550,BES1_Target_BL_up
AT4G21850,BES1_Target_BL_up
AT1G80280,BES1_Target_BL_up
AT5G19190,BES1_Target_BL_up
AT5G14920,BES1_Target_BL_up
AT5G40890,BES1_Target_BL_up
AT1G49030,BES1_Target_BL_up
AT2G19800,BES1_Target_BL_up
AT2G41810,BES1_Target_BL_up
AT4G34800,BES1_Target_BL_up
AT4G37235,BES1_Target_BL_up
AT3G14370,BES1_Target_BL_up
AT1G78260,BES1_Target_BL_up
AT4G08950,BES1_Target_BL_up
AT1G30690,BES1_Target_BL_up
AT1G11260,BES1_Target_BL_up
AT2G01670,BES1_Target_BL_up
AT3G58850,BES1_Target_BL_up
AT4G31920,BES1_Target_BL_up
AT3G61430,BES1_Target_BL_up
AT3G06070,BES1_Target_BL_up
AT4G34810,BES1_Target_BL_up
AT5G20250,BES1_Target_BL_up
AT1G02360,BES1_Target_BL_up
AT2G45180,BES1_Target_BL_up
AT3G05936,BES1_Target_BL_up
AT1G22530,BES1_Target_BL_up
AT2G28200,BES1_Target_BL_up
AT5G23870,BES1_Target_BL_up
AT2G21880,BES1_Target_BL_up
AT4G36880,BES1_Target_BL_up
AT5G10430,BES1_Target_BL_up
AT1G69930,BES1_Target_BL_up
AT1G29270,BES1_Target_BL_up
AT3G17580,BES1_Target_BL_up
AT1G09950,BES1_Target_BL_up
AT2G39180,BES1_Target_BL_up
AT5G49800,BES1_Target_BL_up
AT3G15540,BES1_Target_BL_up
AT5G40450,BES1_Target_BL_up
AT5G20150,BES1_Target_BL_up
AT5G23860,BES1_Target_BL_up
AT3G05800,BES1_Target_BL_up
AT3G19930,BES1_Target_BL_up
AT4G38860,BES1_Target_BL_up
AT3G12830,BES1_Target_BL_up
AT5G44020,BES1_Target_BL_up
AT4G15920,BES1_Target_BL_up
AT2G39200,BES1_Target_BL_up
AT5G65390,BES1_Target_BL_up
AT1G78860,BES1_Target_BL_up
AT5G67190,BES1_Target_BL_up
AT1G03870,BES1_Target_BL_up
AT4G25260,BES1_Target_BL_up
AT5G65800,BES1_Target_BL_up
AT1G76090,BES1_Target_BL_up
AT3G30775,BES1_Target_BL_up
AT4G16380,BES1_Target_BL_up
AT3G50350,BES1_Target_BL_up
AT1G22330,BES1_Target_BL_up
AT2G38310,BES1_Target_BL_up
AT5G55910,BES1_Target_BL_up
AT2G17300,BES1_Target_BL_up
AT1G71880,BES1_Target_BL_up
AT2G02810,BES1_Target_BL_up
AT2G39010,BES1_Target_BL_up
AT2G20670,BES1_Target_BL_up
AT1G54120,BES1_Target_BL_up
AT1G05700,BES1_Target_BL_up
AT5G67390,BES1_Target_BL_up
AT2G30930,BES1_Target_BL_up
AT1G27210,BES1_Target_BL_up
AT5G03520,BES1_Target_BL_up
AT3G46280,BES1_Target_BL_up
AT2G36410,BES1_Target_BL_up
AT3G27170,BES1_Target_BL_up
AT4G28720,BES1_Target_BL_up
AT5G49360,BES1_Target_BL_up
AT3G43430,BES1_Target_BL_up
AT1G72150,BES1_Target_BL_up
AT4G22010,BES1_Target_BL_up
AT5G09430,BES1_Target_BL_up
AT3G26830,BES1_Target_BL_up
AT5G05440,BES1_Target_BL_up
AT5G64850,BES1_Target_BL_up
AT5G61590,BES1_Target_BL_up
AT2G38120,BES1_Target_BL_up
AT2G43820,BES1_Target_BL_up
AT3G27390,BES1_Target_BL_up
AT2G17680,BES1_Target_BL_up
AT1G32090,BES1_Target_BL_up
AT2G27660,BES1_Target_BL_up
AT4G22590,BES1_Target_BL_up
AT3G18830,BES1_Target_BL_up
AT1G22640,BES1_Target_BL_up
AT5G57685,BES1_Target_BL_up
AT3G05150,BES1_Target_BL_up
AT2G14900,BES1_Target_BL_up
AT2G40970,BES1_Target_BL_up
AT1G72430,BES1_Target_BL_up
AT2G26710,BES1_Target_BL_up
AT1G56630,BES1_Target_BL_up
AT5G65660,BES1_Target_BL_up
AT5G15600,BES1_Target_BL_up
AT3G12610,BES1_Target_BL_up
AT1G25450,BES1_Target_BL_up
AT4G10380,BES1_Target_BL_up
AT3G12560,BES1_Target_BL_up
AT2G30520,BES1_Target_BL_up
AT4G35100,BES1_Target_BL_up
AT3G61820,BES1_Target_BL_up
AT1G52750,BES1_Target_BL_up
AT4G16660,BES1_Target_BL_up
AT3G16690,BES1_Target_BL_up
AT1G74940,BES1_Target_BL_up
AT4G36920,BES1_Target_BL_up
AT1G04360,BES1_Target_BL_up
AT5G60760,BES1_Target_BL_up
AT4G02170,BES1_Target_BL_up
AT1G25230,BES1_Target_BL_up
AT5G52882,BES1_Target_BL_up
AT3G54400,BES1_Target_BL_up
AT4G12420,BES1_Target_BL_up
AT5G41080,BES1_Target_BL_up
AT2G38400,BES1_Target_BL_up
AT3G58620,BES1_Target_BL_up
AT1G25400,BES1_Target_BL_up
AT4G37450,BES1_Target_BL_up
AT1G61740,BES1_Target_BL_up
AT1G12500,BES1_Target_BL_up
AT4G31800,BES1_Target_BL_up
AT5G22740,BES1_Target_BL_up
AT5G55960,BES1_Target_BL_up
AT1G28130,BES1_Target_BL_up
AT4G19120,BES1_Target_BL_up
AT4G17870,BES1_Target_BL_up
AT1G22910,BES1_Target_BL_up
AT3G29370,BES1_Target_BL_up
AT4G36500,BES1_Target_BL_up
AT2G19580,BES1_Target_BL_up
AT3G28180,BES1_Target_BL_up
AT4G30190,BES1_Target_BL_up
AT2G01300,BES1_Target_BL_up
AT4G33960,BES1_Target_BL_up
AT1G70710,BES1_Target_BL_up
AT1G74660,BES1_Target_BL_up
AT5G63800,BES1_Target_BL_up
AT4G18700,BES1_Target_BL_up
AT4G14560,BES1_Target_BL_up
AT3G55740,BES1_Target_BL_up
AT2G20562,BES1_Target_BL_up
AT2G14890,BES1_Target_BL_up
AT5G11000,BES1_Target_BL_up
AT3G07000,BES1_Target_BL_up
AT2G26440,BES1_Target_BL_up
AT3G54920,BES1_Target_BL_up
AT5G23280,BES1_Target_BL_up
AT2G44740,BES1_Target_BL_up
AT1G08650,BES1_Target_BL_up
AT5G02260,BES1_Target_BL_up
AT5G12940,BES1_Target_BL_up
AT1G04680,BES1_Target_BL_up
AT5G43700,BES1_Target_BL_up
AT3G54030,BES1_Target_BL_up
AT1G10200,BES1_Target_BL_up
AT2G43340,BES1_Target_BL_up
AT2G46410,BES1_Target_BL_up
AT1G69780,BES1_Target_BL_up
AT3G05640,BES1_Target_BL_up
AT2G15390,BES1_Target_BL_up
AT4G22780,BES1_Target_BL_up
AT3G49630,BES1_Target_BL_up
AT3G07460,BES1_Target_BL_up
AT1G66150,BES1_Target_BL_up
AT4G01410,BES1_Target_BL_up
AT5G28770,BES1_Target_BL_up
AT1G76580,BES1_Target_BL_up
AT2G41110,BES1_Target_BL_up
AT2G29650,BES1_Target_BL_up
AT1G76600,BES1_Target_BL_up
AT3G56880,BES1_Target_BL_up
AT5G22090,BES1_Target_BL_up
AT1G08590,BES1_Target_BL_up
AT5G09870,BES1_Target_BL_up
AT3G07010,BES1_Target_BL_up
AT5G24230,BES1_Target_BL_up
AT4G23270,BES1_Target_BL_up
AT1G05300,BES1_Target_BL_up
AT4G17670,BES1_Target_BL_up
AT3G16180,BES1_Target_BL_up
AT4G25350,BES1_Target_BL_up
AT5G54380,BES1_Target_BL_up
AT1G32170,BES1_Target_BL_up
AT3G62570,BES1_Target_BL_up
AT2G23170,BES1_Target_BL_up
AT3G12710,BES1_Target_BL_up
AT3G49940,BES1_Target_BL_up
AT3G28910,BES1_Target_BL_up
AT1G75540,BES1_Target_BL_up
AT5G18670,BES1_Target_BL_up
AT1G21900,BES1_Target_BL_up
AT1G64670,BES1_Target_BL_up
AT1G76230,BES1_Target_BL_up
AT3G23750,BES1_Target_BL_up
AT3G23820,BES1_Target_BL_up
AT1G21360,BES1_Target_BL_up
AT5G54020,BES1_Target_BL_up
AT3G43800,BES1_Target_BL_up
AT4G20170,BES1_Target_BL_up
AT3G05165,BES1_Target_BL_up
AT5G06700,BES1_Target_BL_up
AT1G15550,BES1_Target_BL_up
AT4G17900,BES1_Target_BL_up
AT5G09440,BES1_Target_BL_up
AT2G42870,BES1_Target_BL_up
AT4G21960,BES1_Target_BL_up
AT3G10720,BES1_Target_BL_up
AT2G45070,BES1_Target_BL_up
AT4G13340,BES1_Target_BL_up
AT4G35500,BES1_Target_BL_up
AT1G76160,BES1_Target_BL_up
AT5G65270,BES1_Target_BL_up
AT1G50460,BES1_Target_BL_up
AT1G12240,BES1_Target_BL_up
AT2G34770,BES1_Target_BL_up
AT1G28440,BES1_Target_BL_up
AT5G06570,BES1_Target_BL_up
AT1G14290,BES1_Target_BL_up
AT4G12730,BES1_Target_BL_up
AT3G06750,BES1_Target_BL_up
AT1G11740,BES1_Target_BL_up
AT4G39410,BES1_Target_BL_up
AT3G04730,BES1_Target_BL_up
AT3G14310,BES1_Target_BL_up
AT4G24230,BES1_Target_BL_up
AT5G05600,BES1_Target_BL_up
AT5G48560,BES1_Target_BL_up
AT4G19160,BES1_Target_BL_up
AT2G43810,BES1_Target_BL_up
AT5G15150,BES1_Target_BL_up
AT1G29290,BES1_Target_BL_up
AT5G63650,BES1_Target_BL_up
AT3G56000,BES1_Target_BL_up
AT5G47220,BES1_Target_BL_up
AT3G28200,BES1_Target_BL_up
AT2G04500,BES1_Target_BL_up
AT1G20090,BES1_Target_BL_up
AT5G44130,BES1_Target_BL_up
AT3G13320,BES1_Target_BL_up
AT3G05890,BES1_Target_BL_up
AT3G44735,BES1_Target_BL_up
AT3G02570,BES1_Target_BL_up
AT4G26690,BES1_Target_BL_up
AT2G20835,BES1_Target_BL_up
AT5G41790,BES1_Target_BL_up
AT1G15210,BES1_Target_BL_up
AT5G06930,BES1_Target_BL_up
AT4G23730,BES1_Target_BL_up
AT4G03210,BES1_Target_BL_up
AT1G70370,BES1_Target_BL_up
AT1G68840,BES1_Target_BL_up
AT1G75710,BES1_Target_BL_up
AT1G78230,BES1_Target_BL_up
AT2G39870,BES1_Target_BL_up
AT1G57990,BES1_Target_BL_up
AT1G72300,BES1_Target_BL_up
AT1G65840,BES1_Target_BL_up
AT2G37940,BES1_Target_BL_up
AT2G32430,BES1_Target_BL_up
AT2G42960,BES1_Target_BL_up
AT2G47440,BES1_Target_BL_up
AT5G66690,BES1_Target_BL_up
AT5G54145,BES1_Target_BL_up
AT2G38480,BES1_Target_BL_up
AT4G30500,BES1_Target_BL_up
AT3G25730,BES1_Target_BL_up
AT1G64650,BES1_Target_BL_up
AT5G20050,BES1_Target_BL_up
AT1G02640,BES1_Target_BL_up
AT4G21860,BES1_Target_BL_up
AT1G20840,BES1_Target_BL_up
AT5G10170,BES1_Target_BL_up
AT4G11280,BES1_Target_BL_up
AT4G21390,BES1_Target_BL_up
AT3G02750,BES1_Target_BL_up
AT3G14840,BES1_Target_BL_up
AT4G39390,BES1_Target_BL_up
AT1G29060,BES1_Target_BL_up
AT1G01600,BES1_Target_BL_up
AT2G16660,BES1_Target_BL_up
AT3G56050,BES1_Target_BL_up
AT1G19840,BES1_Target_BL_up
AT4G03190,BES1_Target_BL_up
AT3G54770,BES1_Target_BL_up
AT4G35320,BES1_Target_BL_up
AT1G14280,BES1_Target_BL_up
AT5G03040,BES1_Target_BL_up
AT2G37678,BES1_Target_BL_up
AT2G45160,BES1_Target_BL_up
AT1G64700,BES1_Target_BL_up
AT5G56040,BES1_Target_BL_up
AT3G02170,BES1_Target_BL_up
AT1G10140,BES1_Target_BL_up
AT1G20010,BES1_Target_BL_up
AT2G29550,BES1_Target_BL_up
AT3G60640,BES1_Target_BL_up
AT5G57740,BES1_Target_BL_up
AT5G24910,BES1_Target_BL_up
AT1G08930,BES1_Target_BL_up
AT1G01620,BES1_Target_BL_up
AT3G58120,BES1_Target_BL_up
AT4G27654,BES1_Target_BL_up
AT4G30440,BES1_Target_BL_up
AT2G40470,BES1_Target_BL_up
AT2G30990,BES1_Target_BL_up
AT2G21520,BES1_Target_BL_up
AT5G58750,BES1_Target_BL_up
AT2G23690,BES1_Target_BL_up
AT5G61570,BES1_Target_BL_up
AT3G49350,BES1_Target_BL_up
AT3G06890,BES1_Target_BL_up
AT5G17980,BES1_Target_BL_up
AT4G36040,BES1_Target_BL_up
AT5G07590,BES1_Target_BL_up
AT4G23550,BES1_Target_BL_up
AT3G56800,BES1_Target_BL_up
AT1G11540,BES1_Target_BL_up
AT4G18380,BES1_Target_BL_up
AT2G43290,BES1_Target_BL_up
AT1G23060,BES1_Target_BL_up
AT1G48480,BES1_Target_BL_up
AT5G06390,BES1_Target_BL_up
AT1G05000,BES1_Target_BL_up
AT5G05590,BES1_Target_BL_up
AT3G52460,BES1_Target_BL_up
AT5G15580,BES1_Target_BL_up
AT5G35525,BES1_Target_BL_up
AT1G19835,BES1_Target_BL_up
AT1G69030,BES1_Target_BL_up
AT1G72510,BES1_Target_BL_up
AT3G13750,BES1_Target_BL_up
AT1G72690,BES1_Target_BL_up
AT5G67470,BES1_Target_BL_up
AT2G39130,BES1_Target_BL_up
AT3G47220,BES1_Target_BL_up
AT1G25550,BES1_Target_BL_up
AT3G17430,BES1_Target_BL_up
AT4G14750,BES1_Target_BL_up
AT1G22570,BES1_Target_BL_up
AT1G14730,BES1_Target_BL_up
AT2G36310,BES1_Target_BL_up
AT1G76100,BES1_Target_BL_up
AT2G25210,BES1_Target_BL_up
AT1G56145,BES1_Target_BL_up
AT4G02540,BES1_Target_BL_up
AT2G46160,BES1_Target_BL_up
AT1G36060,BES1_Target_BL_up
AT2G38090,BES1_Target_BL_up
AT2G35710,BES1_Target_BL_up
AT1G33240,BES1_Target_BL_up
AT1G77990,BES1_Target_BL_up
AT1G12580,BES1_Target_BL_up
AT5G45280,BES1_Target_BL_up
AT3G16370,BES1_Target_BL_up
AT3G58190,BES1_Target_BL_up
AT1G58110,BES1_Target_BL_up
AT5G43175,BES1_Target_BL_up
AT3G20640,BES1_Target_BL_up
AT4G27740,BES1_Target_BL_up
AT2G35880,BES1_Target_BL_up
AT1G31350,BES1_Target_BL_up
AT5G59350,BES1_Target_BL_up
AT3G02460,BES1_Target_BL_up
AT1G63430,BES1_Target_BL_up
AT5G15350,BES1_Target_BL_up
AT5G13180,BES1_Target_BL_up
AT5G23430,BES1_Target_BL_up
AT2G36320,BES1_Target_BL_up
AT2G22125,BES1_Target_BL_up
AT4G03110,BES1_Target_BL_up
AT3G60540,BES1_Target_BL_up
AT2G39460,BES1_Target_BL_up
AT2G45830,BES1_Target_BL_up
AT1G06850,BES1_Target_BL_up
AT2G47070,BES1_Target_BL_up
AT4G35920,BES1_Target_BL_up
AT3G60320,BES1_Target_BL_up
AT1G08500,BES1_Target_BL_up
AT3G15820,BES1_Target_BL_up
AT1G70940,BES1_Target_BL_up
AT2G46780,BES1_Target_BL_up
AT5G52900,BES1_Target_BL_up
AT1G20823,BES1_Target_BL_up
AT4G30400,BES1_Target_BL_up
AT5G11740,BES1_Target_BL_up
AT4G02130,BES1_Target_BL_up
AT1G11700,BES1_Target_BL_up
AT2G44940,BES1_Target_BL_up
AT4G35930,BES1_Target_BL_up
AT5G25810,BES1_Target_BL_up
AT3G18000,BES1_Target_BL_up
AT4G35470,BES1_Target_BL_up
AT1G21830,BES1_Target_BL_up
AT3G47820,BES1_Target_BL_up
AT3G49820,BES1_Target_BL_up
AT1G71970,BES1_Target_BL_up
AT3G47210,BES1_Target_BL_up
AT4G18670,BES1_Target_BL_up
AT1G78300,BES1_Target_BL_up
AT3G11700,BES1_Target_BL_up
AT2G02180,BES1_Target_BL_up
AT2G36830,BES1_Target_BL_up
AT1G05870,BES1_Target_BL_up
AT3G57420,BES1_Target_BL_up
AT5G59910,BES1_Target_BL_up
AT2G41640,BES1_Target_BL_up
AT1G24120,BES1_Target_BL_up
AT1G01540,BES1_Target_BL_up
AT5G42100,BES1_Target_BL_up
AT5G19340,BES1_Target_BL_up
AT3G06060,BES1_Target_BL_up
AT2G20840,BES1_Target_BL_up
AT2G18160,BES1_Target_BL_up
AT5G64740,BES1_Target_BL_up
AT5G11640,BES1_Target_BL_up
AT1G30680,BES1_Target_BL_up
AT1G12710,BES1_Target_BL_up
AT2G46330,BES1_Target_BL_up
AT1G69295,BES1_Target_BL_up
AT3G16850,BES1_Target_BL_up
AT5G06710,BES1_Target_BL_up
AT2G19880,BES1_Target_BL_up
AT1G27200,BES1_Target_BL_up
AT4G15802,BES1_Target_BL_up
AT2G28510,BES1_Target_BL_up
AT1G50430,BES1_Target_BL_up
AT5G16360,BES1_Target_BL_up
AT5G03050,BES1_Target_BL_up
AT4G35600,BES1_Target_BL_up
AT3G53600,BES1_Target_BL_up
AT1G05420,BES1_Target_BL_up
AT3G21700,BES1_Target_BL_up
AT4G25360,BES1_Target_BL_up
AT3G13790,BES1_Target_BL_up
AT4G15500,BES1_Target_BL_up
AT5G42110,BES1_Target_BL_up
AT1G19870,BES1_Target_BL_up
AT5G04770,BES1_Target_BL_up
AT5G66680,BES1_Target_BL_up
AT1G77850,BES1_Target_BL_up
AT4G23740,BES1_Target_BL_up
AT1G14690,BES1_Target_BL_up
AT5G66600,BES1_Target_BL_up
AT2G17290,BES1_Target_BL_up
AT5G13820,BES1_Target_BL_up
AT4G35335,BES1_Target_BL_up
AT1G21070,BES1_Target_BL_up
AT1G07410,BES1_Target_BL_up
AT2G39360,BES1_Target_BL_up
AT1G68670,BES1_Target_BL_up
AT4G28730,BES1_Target_BL_up
AT1G61100,BES1_Target_BL_up
AT3G05840,BES1_Target_BL_up
AT5G04480,BES1_Target_BL_up
AT5G11970,BES1_Target_BL_up
AT3G53380,BES1_Target_BL_up
AT2G32580,BES1_Target_BL_up
AT3G15350,BES1_Target_BL_up
AT2G28550,BES1_Target_BL_up
AT1G64380,BES1_Target_BL_up
AT5G18860,BES1_Target_BL_up
AT5G12010,BES1_Target_BL_up
AT1G33230,BES1_Target_BL_up
AT3G52450,BES1_Target_BL_up
AT5G50335,BES1_Target_BL_up
AT2G18730,BES1_Target_BL_up
AT1G13260,BES1_Target_BL_up
AT2G26730,BES1_Target_BL_up
AT1G10480,BES1_Target_BL_up
AT1G70530,BES1_Target_BL_up
AT1G49500,BES1_Target_BL_up
AT1G63000,BES1_Target_BL_up
AT1G62300,BES1_Target_BL_up
AT3G54000,BES1_Target_BL_up
AT4G27730,BES1_Target_BL_up
AT2G18960,BES1_Target_BL_up
AT2G20780,BES1_Target_BL_up
AT4G30410,BES1_Target_BL_up
AT4G14980,BES1_Target_BL_up
AT5G52280,BES1_Target_BL_up
AT5G20045,BES1_Target_BL_up
AT5G05180,BES1_Target_BL_up
AT2G43330,BES1_Target_BL_up
AT1G24170,BES1_Target_BL_up
AT5G03720,BES1_Target_BL_up
AT1G16360,BES1_Target_BL_up
AT4G09890,BES1_Target_BL_up
AT2G45670,BES1_Target_BL_up
AT5G60300,BES1_Target_BL_up
AT4G23810,BES1_Target_BL_up
AT1G53830,BES1_Target_BL_up
AT5G05860,BES1_Target_BL_up
AT4G15800,BES1_Target_BL_up
AT2G36380,BES1_Target_BL_up
AT2G47540,BES1_Target_BL_up
AT1G20190,BES1_Target_BL_up
AT5G66820,BES1_Target_BL_up
AT2G19660,BES1_Target_BL_up
AT5G41260,BES1_Target_BL_up
AT4G22810,BES1_Target_BL_up
AT3G15810,BES1_Target_BL_up
AT5G03320,BES1_Target_BL_up
AT5G22940,BES1_Target_BL_up
AT1G69840,BES1_Target_BL_up
AT5G60200,BES1_Target_BL_up
AT5G14930,BES1_Target_BL_up
AT3G05910,BES1_Target_BL_up
AT4G00400,BES1_Target_BL_up
AT3G28860,BES1_Target_BL_up
AT3G52500,BES1_Target_BL_up
AT5G11930,BES1_Target_BL_up
AT2G42880,BES1_Target_BL_up
AT2G21590,BES1_Target_BL_up
AT1G23030,BES1_Target_BL_up
AT1G16510,BES1_Target_BL_up
AT2G25490,BES1_Target_BL_up
AT4G11300,BES1_Target_BL_up
AT1G08510,BES1_Target_BL_up
AT1G14890,BES1_Target_BL_up
AT3G20340,BES1_Target_BL_up
AT1G51950,BES1_Target_BL_up
AT4G36730,BES1_Target_BL_up
AT3G17120,BES1_Target_BL_up
AT1G69690,BES1_Target_BL_up
AT5G01800,BES1_Target_BL_up
AT5G04470,BES1_Target_BL_up
AT5G60670,BES1_Target_BL_up
AT5G53880,BES1_Target_BL_up
AT3G19030,BES1_Target_BL_up
AT5G58620,BES1_Target_BL_up
AT5G15220,BES1_Target_BL_up
AT3G02760,BES1_Target_BL_up
AT1G27930,BES1_Target_BL_up
AT2G36950,BES1_Target_BL_up
AT3G50340,BES1_Target_BL_up
AT5G08790,BES1_Target_BL_up
AT3G11370,BES1_Target_BL_up
AT3G17860,BES1_Target_BL_up
AT4G31910,BES1_Target_BL_up
AT3G19680,BES1_Target_BL_up
AT5G44260,BES1_Target_BL_up
AT5G46910,BES1_Target_BL_up
AT1G70950,BES1_Target_BL_up
AT3G62150,BES1_Target_BL_up
AT5G02580,BES1_Target_BL_up
AT4G25280,BES1_Target_BL_up
AT5G54750,BES1_Target_BL_up
AT1G70900,BES1_Target_BL_up
AT5G53280,BES1_Target_BL_up
AT3G57120,BES1_Target_BL_up
AT4G33440,BES1_Target_BL_up
AT1G76878,BES1_Target_BL_up
AT4G27270,BES1_Target_BL_up
AT3G58130,BES1_Target_BL_up
AT2G44120,BES1_Target_BL_up
AT2G04680,BES1_Target_BL_up
AT1G27740,BES1_Target_BL_up
AT5G58560,BES1_Target_BL_up
AT5G64340,BES1_Target_BL_up
AT1G33590,BES1_Target_BL_up
AT3G26500,BES1_Target_BL_up
AT3G23690,BES1_Target_BL_up
AT1G25425,BES1_Target_BL_up
AT3G57550,BES1_Target_BL_up
AT1G72160,BES1_Target_BL_up
AT5G55920,BES1_Target_BL_up
AT3G52470,BES1_Target_BL_up
AT4G38470,BES1_Target_BL_up
AT1G28360,BES1_Target_BL_up
AT5G13240,BES1_Target_BL_up
AT2G45960,BES1_Target_BL_up
AT1G19220,BES1_Target_BL_up
AT3G02580,BES1_Target_BL_up
AT4G20870,BES1_Target_BL_up
AT1G22830,BES1_Target_BL_up
AT1G05530,BES1_Target_BL_up
AT1G15660,BES1_Target_BL_up
AT2G47485,BES1_Target_BL_up
AT3G50530,BES1_Target_BL_up
AT5G22930,BES1_Target_BL_up
AT2G29125,BES1_Target_BL_up
AT5G67480,BES1_Target_BL_up
AT1G07240,BES1_Target_BL_up
AT1G55360,BES1_Target_BL_up
AT5G19200,BES1_Target_BL_up
AT5G16110,BES1_Target_BL_up
AT2G24300,BES1_Target_BL_up
AT2G24765,BES1_Target_BL_up
AT5G65650,BES1_Target_BL_up
AT3G49360,BES1_Target_BL_up
AT4G37540,BES1_Target_BL_up
AT5G03890,BES1_Target_BL_up
AT4G22190,BES1_Target_BL_up
AT2G27050,BES1_Target_BL_up
AT5G15330,BES1_Target_BL_up
AT1G30190,BES1_Target_BL_up
AT5G23360,BES1_Target_BL_up
AT3G24550,BES1_Target_BL_up
AT3G52290,BES1_Target_BL_up
AT1G32700,BES1_Target_BL_up
AT1G05805,BES1_Target_BL_up
AT5G25100,BES1_Target_BL_up
AT2G32140,BES1_Target_BL_up
AT5G14110,BES1_Target_BL_up
AT4G32150,BES1_Target_BL_up
AT5G58650,BES1_Target_BL_up
AT4G11050,BES1_Target_BL_up
AT1G23020,BES1_Target_BL_up
AT4G32480,BES1_Target_BL_up
AT2G28130,BES1_Target_BL_up
AT5G67070,BES1_Target_BL_up
AT2G27770,BES1_Target_BL_up
AT1G14780,BES1_Target_BL_up
AT4G37080,BES1_Target_BL_up
AT2G47000,BES1_Target_BL_up
AT5G05450,BES1_Target_BL_up
AT5G60690,BES1_Target_BL_up
AT1G19110,BES1_Target_BL_up
AT4G00740,BES1_Target_BL_up
AT5G01810,BES1_Target_BL_up
AT5G20260,BES1_Target_BL_up
AT1G27120,BES1_Target_BL_up
AT3G13310,BES1_Target_BL_up
AT2G19670,BES1_Target_BL_up
AT1G78850,BES1_Target_BL_up
AT1G14685,BES1_Target_BL_up
AT1G29640,BES1_Target_BL_up
AT5G67420,BES1_Target_BL_up
AT5G24030,BES1_Target_BL_up
AT5G50950,BES1_Target_BL_up
